domain	name	tld	package	category	subcategory	type	noun	nounPlural	verb	verbGerund	adjective	description	tagline	status	priority	tier
sdk.do	sdk	do	sdk.do	primitives	development	primitive	SDK	SDKs	develop	developing	developmental	SDK generation	SDKs generated	planned	P1	free
searches.do	searches	do	searches.do	primitives	discovery	primitive	Search	Searches	search	searching	searchable	Search engine	Search anything	planned	P1	free
service.do	service	do	service.do	primitives	execution	primitive	Service	Services	serve	serving	serviced	Single service	Services deployed	planned	P1	free
services.do	services	do	services.do	primitives	execution	primitive	Service	Services	serve	serving	serviced	Service mesh	Services at scale	planned	P1	free
state.do	state	do	state.do	primitives	data	primitive	State	States	state	stating	stateful	State management	State managed	planned	P1	free
storage.do	storage	do	storage.do	primitives	data	primitive	Storage	-	store	storing	stored	Object storage	Storage unified	planned	P1	free
tasks.do	tasks	do	tasks.do	primitives	execution	primitive	Task	Tasks	task	tasking	tasked	Task execution	Tasks completed	planned	P1	free
teams.do	teams	do	teams.do	primitives	organization	primitive	Team	Teams	team	teaming	teamed	Team composition	Teams that work	implemented	P0	free
templates.do	templates	do	templates.do	primitives	generation	primitive	Template	Templates	template	templating	templated	Template engine	Templates rendered	planned	P2	free
tests.do	tests	do	tests.do	primitives	quality	primitive	Test	Tests	test	testing	tested	Test runner	Tests passing	planned	P1	free
trace.do	trace	do	trace.do	primitives	observability	primitive	Trace	Traces	trace	tracing	traced	Distributed tracing	Traces connected	planned	P1	free
traces.do	traces	do	traces.do	primitives	observability	primitive	Trace	Traces	trace	tracing	traced	Trace aggregation	Traces unified	planned	P1	free
trigger.do	trigger	do	trigger.do	primitives	automation	primitive	Trigger	Triggers	trigger	triggering	triggered	Event trigger	Triggers fired	planned	P1	free
triggers.do	triggers	do	triggers.do	primitives	automation	primitive	Trigger	Triggers	trigger	triggering	triggered	Trigger management	Triggers at scale	implemented	P0	free
verbs.do	verbs	do	verbs.do	primitives	language	primitive	Verb	Verbs	do	doing	active	Verb definitions	Verbs that act	planned	P2	free
webhooks.do	webhooks	do	webhooks.do	primitives	messaging	primitive	Webhook	Webhooks	hook	hooking	hooked	Webhook management	Webhooks delivered	implemented	P1	free
worker.do	worker	do	worker.do	primitives	execution	primitive	Worker	Workers	work	working	working	Single worker	Workers deployed	planned	P1	free
workers.do	workers	do	workers.do	primitives	execution	primitive	Worker	Workers	work	working	working	Worker runtime	Workers at scale	implemented	P0	free
workflows.do	workflows	do	workflows.do	primitives	orchestration	primitive	Workflow	Workflows	orchestrate	orchestrating	orchestrated	Workflow orchestration	Workflows automated	implemented	P0	free
# Business - Business-as-Code Financial Platform (~25 domains)
402.do	402	do	402.do	business	payments	service	PaymentRequired	-	require	requiring	required	Payment required handling	Payments enforced	planned	P2	pro
accounting.do	accounting	do	accounting.do	business	financial	service	Account	Accounts	account	accounting	accountable	Autonomous accounting	Accounting automated	planned	P0	pro
accounts.do	accounts	do	accounts.do	business	financial	service	Account	Accounts	manage	managing	managed	Bank account management	Accounts unified	planned	P0	pro
address.do	address	do	address.do	business	formation	service	Address	Addresses	address	addressing	addressed	Business address service	Addresses managed	planned	P1	pro
addresses.do	addresses	do	addresses.do	business	formation	service	Address	Addresses	address	addressing	addressed	Multiple addresses	Addresses unified	planned	P1	pro
analytics.do	analytics	do	analytics.do	business	metrics	service	Analytics	-	analyze	analyzing	analytical	Business analytics	Analytics that matter	planned	P1	pro
businesses.do	businesses	do	businesses.do	business	formation	service	Business	Businesses	conduct	conducting	business	Business management	Businesses launched	planned	P1	pro
calls.do	calls	do	calls.do	business	communications	service	Call	Calls	call	calling	callable	Voice call service	Calls connected	planned	P1	pro
cards.do	cards	do	cards.do	business	financial	service	Card	Cards	issue	issuing	issued	Card issuance	Cards issued	planned	P0	pro
careers.do	careers	do	careers.do	business	hr	service	Career	Careers	hire	hiring	hireable	Career management	Careers launched	planned	P2	pro
companies.do	companies	do	companies.do	business	formation	service	Company	Companies	incorporate	incorporating	incorporated	Company management	Companies formed	planned	P1	pro
emails.do	emails	do	emails.do	business	communications	service	Email	Emails	email	emailing	emailable	Email service	Emails delivered	planned	P1	pro
financials.do	financials	do	financials.do	business	financial	service	Financial	Financials	finance	financing	financial	Financial reporting	Financials clear	planned	P1	pro
incorporate.do	incorporate	do	incorporate.do	business	formation	service	Entity	Entities	incorporate	incorporating	incorporated	Entity formation	Entities formed	planned	P1	pro
kpis.do	kpis	do	kpis.do	business	metrics	service	KPI	KPIs	measure	measuring	measurable	KPI tracking	KPIs tracked	planned	P2	pro
payments.do	payments	do	payments.do	business	financial	service	Payment	Payments	pay	paying	payable	Payment processing	Payments simplified	implementing	P0	pro
soc2.do	soc2	do	soc2.do	business	compliance	service	SOC2	-	comply	complying	compliant	SOC 2 compliance	Compliance instant	planned	P1	pro
startups.do	startups	do	startups.do	business	formation	service	Startup	Startups	launch	launching	launched	Startup formation	Startups launched	planned	P1	pro
texts.do	texts	do	texts.do	business	communications	service	Text	Texts	text	texting	textable	SMS messaging	Texts sent	planned	P1	pro
treasury.do	treasury	do	treasury.do	business	financial	service	Treasury	-	transfer	transferring	transferred	Treasury management	Money moved	planned	P0	pro
waitlist.do	waitlist	do	waitlist.do	business	marketing	service	Waitlist	Waitlists	waitlist	waitlisting	waitlisted	Waitlist management	Waitlists managed	planned	P2	free
# AI - AI/ML Services (~15 domains)
agi.do	agi	do	agi.do	ai	models	service	AGI	-	think	thinking	intelligent	AGI capabilities	Intelligence amplified	planned	P2	pro
benchmarks.do	benchmarks	do	benchmarks.do	ai	evaluation	service	Benchmark	Benchmarks	benchmark	benchmarking	benchmarked	AI benchmarking	Benchmarks tracked	planned	P2	free
datasets.do	datasets	do	datasets.do	ai	data	service	Dataset	Datasets	curate	curating	curated	Dataset management	Datasets curated	planned	P2	free
embed.do	embed	do	embed.do	ai	embeddings	service	Embedding	Embeddings	embed	embedding	embedded	Single embedding	Embeddings created	planned	P1	free
embeddings.do	embeddings	do	embeddings.do	ai	embeddings	service	Embedding	Embeddings	embed	embedding	embedded	Embedding generation	Embeddings at scale	planned	P1	free
evals.do	evals	do	evals.do	ai	evaluation	service	Eval	Evals	evaluate	evaluating	evaluated	AI evaluation	Evals automated	planned	P1	free
experiments.do	experiments	do	experiments.do	ai	evaluation	service	Experiment	Experiments	experiment	experimenting	experimental	Experiment tracking	Experiments tracked	planned	P2	free
gemini.do	gemini	do	gemini.do	ai	models	integration	Gemini	-	generate	generating	generative	Google Gemini integration	Gemini powered	planned	P2	pro
gpt.do	gpt	do	gpt.do	ai	models	integration	GPT	-	generate	generating	generative	OpenAI GPT integration	GPT powered	planned	P2	pro
llm.do	llm	do	llm.do	ai	models	service	LLM	LLMs	generate	generating	generative	LLM gateway	LLMs unified	implemented	P0	pro
llms.do	llms	do	llms.do	ai	models	service	LLM	LLMs	generate	generating	generative	Multi-LLM management	LLMs at scale	planned	P1	pro
mcp.do	mcp	do	mcp.do	ai	protocols	service	MCP	-	connect	connecting	connected	Model Context Protocol	MCP enabled	planned	P1	free
models.do	models	do	models.do	ai	models	service	Model	Models	model	modeling	modeled	Model registry	Models managed	planned	P1	free
thinking.do	thinking	do	thinking.do	ai	reasoning	service	Thought	Thoughts	think	thinking	thoughtful	Chain of thought	Thinking deeply	planned	P2	pro
vectors.do	vectors	do	vectors.do	ai	embeddings	service	Vector	Vectors	vectorize	vectorizing	vectorized	Vector storage	Vectors stored	planned	P1	free
# Content - Content Generation (~20 domains)
blogs.do	blogs	do	blogs.do	content	publishing	service	Blog	Blogs	blog	blogging	blogged	Blog management	Blogs published	planned	P2	free
deck.do	deck	do	deck.do	content	presentations	service	Deck	Decks	present	presenting	presented	Presentation builder	Decks created	planned	P2	free
diagram.do	diagram	do	diagram.do	content	visualization	service	Diagram	Diagrams	diagram	diagramming	diagrammed	Diagram generation	Diagrams rendered	planned	P2	free
documentation.do	documentation	do	documentation.do	content	publishing	service	Documentation	-	document	documenting	documented	Documentation generator	Docs generated	planned	P1	free
excel.do	excel	do	excel.do	content	spreadsheets	integration	Spreadsheet	Spreadsheets	calculate	calculating	calculated	Excel integration	Spreadsheets powered	planned	P2	pro
guide.do	guide	do	guide.do	content	publishing	service	Guide	Guides	guide	guiding	guided	Guide builder	Guides created	planned	P2	free
icons.do	icons	do	icons.do	content	assets	service	Icon	Icons	iconify	iconifying	iconic	Icon library	Icons delivered	planned	P2	free
images.do	images	do	images.do	content	media	service	Image	Images	image	imaging	imaged	Image generation	Images created	planned	P1	free
mdx.do	mdx	do	mdx.do	content	publishing	service	MDX	-	render	rendering	rendered	MDX rendering	MDX powered	planned	P1	free
mermaid.do	mermaid	do	mermaid.do	content	visualization	service	Diagram	Diagrams	diagram	diagramming	diagrammed	Mermaid diagrams	Diagrams rendered	planned	P2	free
photos.do	photos	do	photos.do	content	media	service	Photo	Photos	photograph	photographing	photographed	Photo management	Photos managed	planned	P2	free
qrcode.do	qrcode	do	qrcode.do	content	generation	service	QRCode	QRCodes	generate	generating	generated	QR code generator	QR codes created	planned	P2	free
reference.do	reference	do	reference.do	content	publishing	service	Reference	References	reference	referencing	referenced	Reference documentation	References organized	planned	P2	free
screenshots.do	screenshots	do	screenshots.do	content	media	service	Screenshot	Screenshots	capture	capturing	captured	Screenshot capture	Screenshots taken	planned	P2	free
sheets.do	sheets	do	sheets.do	content	spreadsheets	service	Sheet	Sheets	sheet	sheeting	sheeted	Spreadsheet service	Sheets managed	planned	P2	free
sites.do	sites	do	sites.do	content	publishing	service	Site	Sites	publish	publishing	published	Static site hosting	Sites deployed	planned	P2	free
speak.do	speak	do	speak.do	content	audio	service	Speech	Speeches	speak	speaking	spoken	Text-to-speech	Speech generated	planned	P2	free
summarize.do	summarize	do	summarize.do	content	text	service	Summary	Summaries	summarize	summarizing	summarized	Text summarization	Summaries created	planned	P2	free
videos.do	videos	do	videos.do	content	media	service	Video	Videos	record	recording	recorded	Video generation	Videos created	planned	P2	free
word.do	word	do	word.do	content	documents	integration	Document	Documents	document	documenting	documented	Word document integration	Documents powered	planned	P2	pro
# Infrastructure - Platform Infrastructure (~20 domains)
beads.do	beads	do	beads.do	infra	tracking	service	Bead	Beads	track	tracking	tracked	Issue tracking (Beads)	Issues tracked	implemented	P1	free
browse.do	browse	do	browse.do	infra	web	service	Browser	Browsers	browse	browsing	browsable	Web browsing service	Pages browsed	planned	P2	free
browser.do	browser	do	browser.do	infra	web	service	Browser	Browsers	browse	browsing	browsable	Browser automation	Browser controlled	planned	P2	free
browsers.do	browsers	do	browsers.do	infra	web	service	Browser	Browsers	browse	browsing	browsable	Multi-browser management	Browsers unified	planned	P2	free
cname.do	cname	do	cname.do	infra	dns	service	CNAME	CNAMEs	alias	aliasing	aliased	CNAME management	CNAMEs configured	planned	P2	free
colo.do	colo	do	colo.do	infra	networking	service	Colo	Colos	colocate	colocating	colocated	Colocation routing	Colos optimized	planned	P2	free
deployments.do	deployments	do	deployments.do	infra	cicd	service	Deployment	Deployments	deploy	deploying	deployed	Deployment management	Deployments automated	planned	P1	free
esbuild.do	esbuild	do	esbuild.do	infra	build	integration	Build	Builds	build	building	built	esbuild integration	Builds fast	planned	P2	free
esm.do	esm	do	esm.do	infra	modules	service	Module	Modules	import	importing	imported	ESM module hosting	Modules served	planned	P2	free
fsx.do	fsx	do	fsx.do	infra	filesystem	service	FileSystem	FileSystems	file	filing	filed	Filesystem abstraction	Files managed	planned	P1	free
gitx.do	gitx	do	gitx.do	infra	vcs	service	Repository	Repositories	commit	committing	committed	Git extensions	Git extended	planned	P2	free
perf.do	perf	do	perf.do	infra	observability	service	Performance	-	perform	performing	performant	Performance monitoring	Performance tracked	planned	P1	free
pkg.do	pkg	do	pkg.do	infra	packages	service	Package	Packages	package	packaging	packaged	Package management	Packages published	planned	P2	free
prxy.do	prxy	do	prxy.do	infra	networking	service	Proxy	Proxies	proxy	proxying	proxied	Proxy service	Requests proxied	planned	P2	free
repo.do	repo	do	repo.do	infra	vcs	service	Repository	Repositories	store	storing	stored	Repository management	Repos managed	planned	P2	free
research.do	research	do	research.do	infra	discovery	service	Research	-	research	researching	researched	Research tools	Research enabled	planned	P2	free
rpa.do	rpa	do	rpa.do	infra	automation	service	RPA	-	automate	automating	automated	Robotic process automation	Processes automated	planned	P2	pro
scraper.do	scraper	do	scraper.do	infra	web	service	Scraper	Scrapers	scrape	scraping	scraped	Web scraper	Pages scraped	planned	P2	free
scrapers.do	scrapers	do	scrapers.do	infra	web	service	Scraper	Scrapers	scrape	scraping	scraped	Scraper management	Scrapers unified	planned	P2	free
src.do	src	do	src.do	infra	code	service	Source	Sources	source	sourcing	sourced	Source management	Sources managed	planned	P2	free
studio.do	studio	do	studio.do	infra	development	service	Studio	Studios	develop	developing	developmental	Development studio	Studio enabled	planned	P2	free
tunnels.do	tunnels	do	tunnels.do	infra	networking	service	Tunnel	Tunnels	tunnel	tunneling	tunneled	Tunnel management	Tunnels connected	planned	P2	free
# Integrations - Database Integrations (~15 domains)
clickhouse.do	clickhouse	do	clickhouse.do	integrations	databases	integration	ClickHouse	-	query	querying	queryable	ClickHouse integration	Analytics fast	planned	P2	pro
convex.do	convex	do	convex.do	integrations	databases	integration	Convex	-	sync	syncing	synced	Convex integration	Data synced	planned	P2	pro
firebase.do	firebase	do	firebase.do	integrations	databases	integration	Firebase	-	store	storing	stored	Firebase integration	Firebase powered	planned	P2	pro
iceberg.do	iceberg	do	iceberg.do	integrations	databases	integration	Iceberg	-	lake	laking	lakeable	Apache Iceberg integration	Data lakehouse	planned	P2	pro
kafka.do	kafka	do	kafka.do	integrations	messaging	integration	Kafka	-	stream	streaming	streamed	Apache Kafka integration	Events streamed	planned	P2	pro
mongo.do	mongo	do	mongo.do	integrations	databases	integration	MongoDB	-	document	documenting	documented	MongoDB integration	Documents stored	planned	P2	pro
mongoose.do	mongoose	do	mongoose.do	integrations	databases	integration	Mongoose	-	model	modeling	modeled	Mongoose ODM integration	Models defined	planned	P2	pro
nats.do	nats	do	nats.do	integrations	messaging	integration	NATS	-	publish	publishing	published	NATS integration	Messages delivered	planned	P2	pro
neo4j.do	neo4j	do	neo4j.do	integrations	databases	integration	Neo4j	-	graph	graphing	graphed	Neo4j integration	Graphs queried	planned	P2	pro
neon.do	neon	do	neon.do	integrations	databases	integration	Neon	-	query	querying	queryable	Neon Postgres integration	Serverless Postgres	planned	P2	pro
payload.do	payload	do	payload.do	integrations	cms	integration	Payload	-	manage	managing	managed	Payload CMS integration	Content managed	planned	P2	pro
postgres.do	postgres	do	postgres.do	integrations	databases	integration	PostgreSQL	-	query	querying	queryable	PostgreSQL integration	SQL powered	planned	P1	pro
redis.do	redis	do	redis.do	integrations	databases	integration	Redis	-	cache	caching	cached	Redis integration	Cache fast	planned	P1	pro
sql.do	sql	do	sql.do	integrations	databases	integration	SQL	-	query	querying	queryable	SQL abstraction	SQL unified	planned	P1	free
sqlite.do	sqlite	do	sqlite.do	integrations	databases	integration	SQLite	-	query	querying	queryable	SQLite integration	Embedded SQL	planned	P1	free
supabase.do	supabase	do	supabase.do	integrations	databases	integration	Supabase	-	query	querying	queryable	Supabase integration	Backend instant	planned	P1	pro
turso.do	turso	do	turso.do	integrations	databases	integration	Turso	-	query	querying	queryable	Turso integration	Edge SQL	planned	P2	pro
# Integrations - Platform Integrations (~5 domains)
cloudflare.do	cloudflare	do	cloudflare.do	integrations	platforms	integration	Cloudflare	-	deploy	deploying	deployed	Cloudflare integration	Edge deployed	implemented	P1	pro
foundry.do	foundry	do	foundry.do	integrations	platforms	integration	Foundry	-	analyze	analyzing	analyzed	Palantir Foundry integration	Data analyzed	planned	P3	enterprise
gcp.do	gcp	do	gcp.do	integrations	platforms	integration	GCP	-	deploy	deploying	deployed	Google Cloud integration	Cloud powered	planned	P2	pro
vercel.do	vercel	do	vercel.do	integrations	platforms	integration	Vercel	-	deploy	deploying	deployed	Vercel integration	Frontend deployed	planned	P2	pro
# Integrations - Communication Integrations (~3 domains)
slack.do	slack	do	slack.do	integrations	messaging	integration	Slack	-	message	messaging	messaged	Slack integration	Messages sent	planned	P1	pro
# Integrations - Libraries (~5 domains)
lodash.do	lodash	do	lodash.do	integrations	libraries	integration	Lodash	-	utility	utilizing	utilized	Lodash utilities	Utils available	planned	P3	free
react.do	react	do	react.do	integrations	libraries	integration	React	-	render	rendering	rendered	React integration	UI rendered	planned	P2	free
# Utilities - Specialized Utilities (~10 domains)
agentkit.do	agentkit	do	agentkit.do	utilities	kits	utility	AgentKit	-	build	building	built	Agent building kit	Agents built	planned	P2	free
chatkit.do	chatkit	do	chatkit.do	utilities	kits	utility	ChatKit	-	chat	chatting	chatted	Chat UI kit	Chat built	planned	P2	free
extract.do	extract	do	extract.do	utilities	data	utility	Extraction	Extractions	extract	extracting	extracted	Data extraction	Data extracted	planned	P2	free
pace.do	pace	do	pace.do	utilities	metrics	utility	Pace	Paces	pace	pacing	paced	Velocity tracking	Pace tracked	planned	P3	free
patent.do	patent	do	patent.do	utilities	legal	utility	Patent	Patents	patent	patenting	patented	Patent search	Patents searched	planned	P3	pro
rev.do	rev	do	rev.do	utilities	metrics	utility	Revenue	Revenues	generate	generating	generated	Revenue tracking	Revenue tracked	planned	P2	pro
startupkit.do	startupkit	do	startupkit.do	utilities	kits	utility	StartupKit	-	launch	launching	launched	Startup kit	Startups launched	planned	P2	free
svc.do	svc	do	svc.do	utilities	shortcuts	utility	Service	Services	serve	serving	served	Service shorthand	Services quick	planned	P3	free
transform.do	transform	do	transform.do	utilities	data	utility	Transform	Transforms	transform	transforming	transformed	Data transformation	Data transformed	planned	P2	free
vehicle.do	vehicle	do	vehicle.do	utilities	specialized	utility	Vehicle	Vehicles	transport	transporting	transported	Vehicle data	Vehicles tracked	planned	P3	pro
# .as Domains - Definitions/Schemas (36 domains)
agent.as	agent	as	agent.as	definitions	core	definition	Agent	Agents	define	defining	defined	Agent type definition	Agent defined	implemented	P0	free
agi.as	agi	as	agi.as	definitions	ai	definition	AGI	-	define	defining	defined	AGI interface definition	AGI defined	planned	P2	free
apps.as	apps	as	apps.as	definitions	core	definition	App	Apps	define	defining	defined	Application definition	Apps defined	planned	P1	free
assistant.as	assistant	as	assistant.as	definitions	ai	definition	Assistant	Assistants	define	defining	defined	Assistant interface	Assistants defined	planned	P1	free
associates.as	associates	as	associates.as	definitions	organization	definition	Associate	Associates	define	defining	defined	Associate definition	Associates defined	planned	P2	free
blogs.as	blogs	as	blogs.as	definitions	content	definition	Blog	Blogs	define	defining	defined	Blog schema	Blogs defined	planned	P2	free
brands.as	brands	as	brands.as	definitions	marketing	definition	Brand	Brands	define	defining	defined	Brand definition	Brands defined	planned	P2	free
ctx.as	ctx	as	ctx.as	definitions	core	definition	Context	Contexts	define	defining	defined	Context interface	Context defined	planned	P1	free
database.as	database	as	database.as	definitions	data	definition	Database	Databases	define	defining	defined	Database interface	Database defined	planned	P0	free
directories.as	directories	as	directories.as	definitions	discovery	definition	Directory	Directories	define	defining	defined	Directory schema	Directories defined	planned	P2	free
docs.as	docs	as	docs.as	definitions	content	definition	Document	Documents	define	defining	defined	Document schema	Docs defined	planned	P1	free
forms.as	forms	as	forms.as	definitions	ui	definition	Form	Forms	define	defining	defined	Form schema	Forms defined	planned	P2	free
functions.as	functions	as	functions.as	definitions	execution	definition	Function	Functions	define	defining	defined	Function interface	Functions defined	planned	P0	free
gpts.as	gpts	as	gpts.as	definitions	ai	definition	GPT	GPTs	define	defining	defined	GPT schema	GPTs defined	planned	P2	free
ideas.as	ideas	as	ideas.as	definitions	planning	definition	Idea	Ideas	define	defining	defined	Idea schema	Ideas defined	planned	P2	free
ing.as	ing	as	ing.as	definitions	language	definition	Gerund	Gerunds	define	defining	defined	Gerund/action suffix	Actions defined	planned	P3	free
llc.as	llc	as	llc.as	definitions	business	definition	LLC	LLCs	define	defining	defined	LLC definition	LLCs defined	planned	P2	free
marketplace.as	marketplace	as	marketplace.as	definitions	business	definition	Marketplace	Marketplaces	define	defining	defined	Marketplace schema	Marketplaces defined	planned	P2	free
mdx.as	mdx	as	mdx.as	definitions	content	definition	MDX	-	define	defining	defined	MDX schema	MDX defined	planned	P1	free
page.as	page	as	page.as	definitions	content	definition	Page	Pages	define	defining	defined	Page schema	Pages defined	planned	P1	free
pages.as	pages	as	pages.as	definitions	content	definition	Page	Pages	define	defining	defined	Pages schema	Pages defined	planned	P1	free
proxy.as	proxy	as	proxy.as	definitions	networking	definition	Proxy	Proxies	define	defining	defined	Proxy interface	Proxies defined	planned	P2	free
queue.as	queue	as	queue.as	definitions	messaging	definition	Queue	Queues	define	defining	defined	Queue interface	Queues defined	planned	P1	free
saas.as	saas	as	saas.as	definitions	business	definition	SaaS	-	define	defining	defined	SaaS schema	SaaS defined	planned	P2	free
sdk.as	sdk	as	sdk.as	definitions	development	definition	SDK	SDKs	define	defining	defined	SDK interface	SDKs defined	planned	P1	free
services.as	services	as	services.as	definitions	execution	definition	Service	Services	define	defining	defined	Service interface	Services defined	implemented	P0	free
site.as	site	as	site.as	definitions	content	definition	Site	Sites	define	defining	defined	Site schema	Sites defined	planned	P1	free
sites.as	sites	as	sites.as	definitions	content	definition	Site	Sites	define	defining	defined	Sites schema	Sites defined	planned	P1	free
src.as	src	as	src.as	definitions	code	definition	Source	Sources	define	defining	defined	Source interface	Sources defined	planned	P2	free
startups.as	startups	as	startups.as	definitions	business	definition	Startup	Startups	define	defining	defined	Startup schema	Startups defined	planned	P1	free
task.as	task	as	task.as	definitions	execution	definition	Task	Tasks	define	defining	defined	Task interface	Tasks defined	planned	P1	free
videos.as	videos	as	videos.as	definitions	media	definition	Video	Videos	define	defining	defined	Video schema	Videos defined	planned	P2	free
waitlist.as	waitlist	as	waitlist.as	definitions	marketing	definition	Waitlist	Waitlists	define	defining	defined	Waitlist schema	Waitlists defined	planned	P2	free
webhooks.as	webhooks	as	webhooks.as	definitions	messaging	definition	Webhook	Webhooks	define	defining	defined	Webhook interface	Webhooks defined	planned	P1	free
wiki.as	wiki	as	wiki.as	definitions	content	definition	Wiki	Wikis	define	defining	defined	Wiki schema	Wikis defined	planned	P2	free
workflows.as	workflows	as	workflows.as	definitions	orchestration	definition	Workflow	Workflows	define	defining	defined	Workflow interface	Workflows defined	planned	P0	free
